DATE,CS_Index
1/1/1990,76.527
2/1/1990,76.587
3/1/1990,76.79
4/1/1990,77.041
5/1/1990,77.299
6/1/1990,77.504
7/1/1990,77.556
8/1/1990,77.473
9/1/1990,77.222
10/1/1990,76.906
11/1/1990,76.374
12/1/1990,75.965
1/1/1991,75.527
2/1/1991,75.245
3/1/1991,75.138
4/1/1991,75.31
5/1/1991,75.766
6/1/1991,76.25
7/1/1991,76.508
8/1/1991,76.584
9/1/1991,76.567
10/1/1991,76.283
11/1/1991,76.029
12/1/1991,75.83
1/1/1992,75.693
2/1/1992,75.648
3/1/1992,75.808
4/1/1992,76.075
5/1/1992,76.394
6/1/1992,76.599
7/1/1992,76.709
8/1/1992,76.73
9/1/1992,76.628
10/1/1992,76.598
11/1/1992,76.58
12/1/1992,76.465
1/1/1993,76.396
2/1/1993,76.328
3/1/1993,76.383
4/1/1993,76.66
5/1/1993,77.029
6/1/1993,77.515
7/1/1993,77.883
8/1/1993,78.129
9/1/1993,78.198
10/1/1993,78.174
11/1/1993,78.174
12/1/1993,78.117
1/1/1994,78.202
2/1/1994,78.208
3/1/1994,78.353
4/1/1994,78.706
5/1/1994,79.214
6/1/1994,79.707
7/1/1994,80.07
8/1/1994,80.323
9/1/1994,80.345
10/1/1994,80.308
11/1/1994,80.174
12/1/1994,80.084
1/1/1995,80.035
2/1/1995,80.003
3/1/1995,80.092
4/1/1995,80.384
5/1/1995,80.705
6/1/1995,81.082
7/1/1995,81.425
8/1/1995,81.668
9/1/1995,81.753
10/1/1995,81.742
11/1/1995,81.647
12/1/1995,81.531
1/1/1996,81.445
2/1/1996,81.419
3/1/1996,81.685
4/1/1996,82.143
5/1/1996,82.621
6/1/1996,83.069
7/1/1996,83.442
8/1/1996,83.67
9/1/1996,83.726
10/1/1996,83.652
11/1/1996,83.579
12/1/1996,83.512
1/1/1997,83.552
2/1/1997,83.617
3/1/1997,83.933
4/1/1997,84.346
5/1/1997,84.892
6/1/1997,85.426
7/1/1997,85.869
8/1/1997,86.178
9/1/1997,86.338
10/1/1997,86.434
11/1/1997,86.657
12/1/1997,86.874
1/1/1998,87.191
2/1/1998,87.402
3/1/1998,87.905
4/1/1998,88.585
5/1/1998,89.4
6/1/1998,90.22
7/1/1998,90.885
8/1/1998,91.432
9/1/1998,91.776
10/1/1998,92.023
11/1/1998,92.22
12/1/1998,92.467
1/1/1999,92.737
2/1/1999,93.004
3/1/1999,93.635
4/1/1999,94.461
5/1/1999,95.387
6/1/1999,96.39
7/1/1999,97.218
8/1/1999,97.924
9/1/1999,98.428
10/1/1999,98.862
11/1/1999,99.18
12/1/1999,99.575
1/1/2000,100
2/1/2000,100.57
3/1/2000,101.466
4/1/2000,102.54
5/1/2000,103.702
6/1/2000,104.855
7/1/2000,105.721
8/1/2000,106.521
9/1/2000,107.135
10/1/2000,107.728
11/1/2000,108.291
12/1/2000,108.792
1/1/2001,109.215
2/1/2001,109.643
3/1/2001,110.395
4/1/2001,111.248
5/1/2001,112.203
6/1/2001,113.273
7/1/2001,114.229
8/1/2001,114.99
9/1/2001,115.467
10/1/2001,115.682
11/1/2001,115.839
12/1/2001,116.056
1/1/2002,116.437
2/1/2002,116.917
3/1/2002,117.931
4/1/2002,119.211
5/1/2002,120.79
6/1/2002,122.334
7/1/2002,123.687
8/1/2002,124.729
9/1/2002,125.493
10/1/2002,126.136
11/1/2002,126.642
12/1/2002,127.15
1/1/2003,127.651
2/1/2003,128.326
3/1/2003,129.309
4/1/2003,130.49
5/1/2003,131.841
6/1/2003,133.226
7/1/2003,134.647
8/1/2003,135.965
9/1/2003,137.077
10/1/2003,137.978
11/1/2003,138.769
12/1/2003,139.631
1/1/2004,140.709
2/1/2004,142.031
3/1/2004,144.082
4/1/2004,146.181
5/1/2004,148.335
6/1/2004,150.519
7/1/2004,152.338
8/1/2004,153.815
9/1/2004,155.109
10/1/2004,156.301
11/1/2004,157.499
12/1/2004,158.674
1/1/2005,160.134
2/1/2005,161.929
3/1/2005,164.581
4/1/2005,167.003
5/1/2005,169.547
6/1/2005,172.017
7/1/2005,174.097
8/1/2005,175.923
9/1/2005,177.612
10/1/2005,178.755
11/1/2005,179.678
12/1/2005,180.112
1/1/2006,180.832
2/1/2006,181.504
3/1/2006,182.752
4/1/2006,183.65
5/1/2006,184.382
6/1/2006,184.55
7/1/2006,184.612
8/1/2006,184.41
9/1/2006,184.203
10/1/2006,184.057
11/1/2006,183.634
12/1/2006,183.232
1/1/2007,182.721
2/1/2007,182.475
3/1/2007,182.197
4/1/2007,182.134
5/1/2007,181.888
6/1/2007,181.545
7/1/2007,180.999
8/1/2007,180.241
9/1/2007,179.128
10/1/2007,177.535
11/1/2007,175.166
12/1/2007,173.342
1/1/2008,171.081
2/1/2008,169.195
3/1/2008,167.908
4/1/2008,167.328
5/1/2008,167.026
6/1/2008,166.544
7/1/2008,165.721
8/1/2008,164.285
9/1/2008,161.919
10/1/2008,159.168
11/1/2008,156.076
12/1/2008,152.55
1/1/2009,149.367
2/1/2009,147.623
3/1/2009,146.52
4/1/2009,146.948
5/1/2009,148.175
6/1/2009,149.8
7/1/2009,150.749
8/1/2009,150.666
9/1/2009,149.625
10/1/2009,148.585
11/1/2009,147.942
12/1/2009,146.669
1/1/2010,145.003
2/1/2010,143.055
3/1/2010,143.597
4/1/2010,145.403
5/1/2010,147.038
6/1/2010,147.703
7/1/2010,147.56
8/1/2010,146.422
9/1/2010,144.603
10/1/2010,143.126
11/1/2010,141.819
12/1/2010,140.633
1/1/2011,139.045
2/1/2011,137.742
3/1/2011,137.792
4/1/2011,139.158
5/1/2011,140.688
6/1/2011,141.94
7/1/2011,142.337
8/1/2011,141.781
9/1/2011,140.164
10/1/2011,138.407
11/1/2011,136.663
12/1/2011,135.165
1/1/2012,134.165
